Date;Price;Open;High;Low;Vol.;Change %
05/27/2022;179.96;178.30;180.94;175.56;597.60K;1.81%
05/26/2022;176.76;173.30;177.20;173.00;578.83K;2.72%
05/25/2022;172.08;173.54;173.54;165.80;825.52K;0.51%
05/24/2022;171.20;172.72;175.28;170.84;671.63K;-2.44%
05/23/2022;175.48;176.42;177.10;172.44;563.18K;1.55%
05/20/2022;172.80;170.24;175.34;168.30;1.04M;0.54%
05/19/2022;171.88;172.32;172.68;169.54;730.99K;-2.33%
05/18/2022;175.98;183.40;184.08;175.14;782.07K;-3.99%
05/17/2022;183.30;181.90;186.82;180.44;630.02K;1.80%
05/16/2022;180.06;179.46;181.68;177.82;648.13K;-0.50%
05/13/2022;180.96;177.30;180.98;175.20;656.82K;0.27%
05/12/2022;180.48;176.56;182.10;174.90;871.04K;-0.76%
05/11/2022;181.86;176.30;183.86;175.20;915.64K;4.90%
05/10/2022;173.36;176.24;178.88;173.36;881.94K;-0.10%
05/09/2022;173.54;176.66;180.96;173.54;855.80K;-4.31%
05/06/2022;181.36;183.40;183.50;175.44;1.31M;-3.64%
05/05/2022;188.22;198.98;201.00;187.12;935.82K;-2.88%
05/04/2022;193.80;192.00;195.36;191.36;524.86K;0.80%
05/03/2022;192.26;193.88;196.52;190.26;743.30K;-0.99%
05/02/2022;194.18;190.30;196.50;189.58;608.84K;0.24%
04/29/2022;193.72;191.62;195.70;190.64;802.12K;2.91%
04/28/2022;188.24;186.86;189.10;184.12;687.61K;2.17%
04/27/2022;184.24;189.00;189.08;182.50;;-2.23%
04/26/2022;188.44;194.80;195.20;188.12;819.47K;-1.98%
04/25/2022;192.24;194.28;197.50;191.54;681.75K;-3.65%
04/22/2022;199.52;203.95;205.15;199.52;571.96K;-3.82%
04/21/2022;207.45;207.00;209.15;205.00;470.03K;-0.29%
04/20/2022;208.05;203.70;208.75;200.70;563.31K;2.14%
04/19/2022;203.70;198.88;204.75;197.76;607.03K;1.34%
04/14/2022;201.00;199.18;201.00;196.62;677.07K;1.64%
04/13/2022;197.76;198.52;199.74;194.16;755.57K;-2.29%
04/12/2022;202.40;200.00;204.40;197.36;942.04K;0.00%
04/11/2022;202.40;205.15;205.85;201.20;834.75K;-2.50%
04/08/2022;207.60;206.35;207.85;203.90;635.54K;1.91%
04/07/2022;203.70;203.15;207.10;201.50;676.91K;0.59%
04/06/2022;202.50;209.15;209.65;200.10;889.49K;-3.41%
04/05/2022;209.65;212.05;213.90;208.80;403.67K;-1.39%
04/04/2022;212.60;211.00;212.80;207.25;438.60K;1.19%
04/01/2022;210.10;212.20;213.00;209.55;557.42K;-0.85%
03/31/2022;211.90;217.95;219.15;211.15;750.98K;-2.08%
03/30/2022;216.40;218.20;218.40;213.60;694.59K;-0.64%
