Date;Price;Open;High;Low;Vol.;Change %
11/24/2022;0.4800;0.4795;0.4890;0.4770;8.99M;0.10%
11/23/2022;0.4795;0.4755;0.4820;0.4730;8.34M;0.95%
11/22/2022;0.4750;0.4990;0.4990;0.4680;5.47M;0.21%
11/21/2022;0.4740;0.4770;0.4945;0.4645;13.22M;-0.32%
11/18/2022;0.4755;0.4845;0.4850;0.4680;6.56M;-0.94%
11/17/2022;0.4800;0.4995;0.4995;0.4775;8.49M;-1.13%
11/16/2022;0.4855;0.4805;0.5045;0.4780;26.25M;-0.61%
11/15/2022;0.4885;0.4980;0.5135;0.4805;16.41M;-1.61%
11/14/2022;0.4965;0.4635;0.5200;0.4575;68.40M;8.29%
11/11/2022;0.4585;0.4615;0.4660;0.4545;5.46M;-0.11%
11/10/2022;0.4590;0.4570;0.4620;0.4440;7.72M;2.00%
11/09/2022;0.4500;0.4665;0.4695;0.4500;19.61M;-3.12%
11/08/2022;0.4645;0.4725;0.4725;0.4620;7.86M;-1.48%
11/07/2022;0.4715;0.4665;0.4750;0.4665;9.90M;1.62%
11/03/2022;0.4640;0.4835;0.4835;0.4550;17.97M;-3.33%
11/02/2022;0.4800;0.4905;0.4920;0.4795;5.23M;-1.94%
11/01/2022;0.4895;0.4930;0.4990;0.4860;8.25M;0.51%
10/31/2022;0.4870;0.4805;0.4895;0.4795;5.85M;1.46%
10/28/2022;0.4800;0.4830;0.4950;0.4745;10.49M;0.10%
10/27/2022;0.4795;0.4870;0.4975;0.4740;23.31M;-0.52%
10/26/2022;0.4820;0.4845;0.4900;0.4695;15.79M;0.10%
10/25/2022;0.4815;0.4695;0.5200;0.4590;35.14M;4.33%
10/24/2022;0.4615;0.4620;0.4660;0.4580;4.67M;-0.22%
10/21/2022;0.4625;0.4660;0.4680;0.4530;7.74M;-0.64%
10/20/2022;0.4655;0.4605;0.4765;0.4600;17.46M;1.09%
10/19/2022;0.4605;0.4690;0.4690;0.4515;5.80M;-1.81%
