Date;Price;Open;High;Low;Vol.;Change %
07/06/2022;3962.0;4000.0;4150.0;3945.0;603.62K;-1.32%
07/05/2022;4015.0;3950.5;4048.0;3905.0;442.66K;1.66%
07/04/2022;3949.5;3946.0;4095.0;3944.0;421.08K;0.14%
07/01/2022;3944.0;3915.0;4002.5;3876.0;504.47K;1.00%
06/30/2022;3905.0;4000.0;4056.5;3865.0;751.50K;-2.74%
06/29/2022;4015.0;3980.0;4078.0;3920.5;442.80K;0.64%
06/28/2022;3989.5;4109.5;4109.5;3983.0;394.21K;-2.70%
06/27/2022;4100.0;4100.0;4120.0;4056.0;223.54K;0.00%
06/24/2022;4100.0;4149.0;4160.0;4044.5;314.43K;-1.20%
06/23/2022;4150.0;4140.5;4207.0;4076.5;657.19K;0.27%
06/22/2022;4139.0;3990.0;4179.5;3932.5;745.92K;2.32%
06/21/2022;4045.0;4239.0;4279.5;4031.5;590.55K;-3.91%
06/20/2022;4209.5;4202.0;4245.0;4128.0;461.01K;0.66%
06/17/2022;4182.0;4289.5;4326.0;4137.0;499.05K;-1.87%
06/16/2022;4261.5;4116.5;4300.0;4105.0;1.09M;3.56%
06/15/2022;4115.0;3880.0;4125.0;3880.0;725.31K;5.74%
06/14/2022;3891.5;3881.0;3927.5;3846.0;299.31K;-0.17%
06/10/2022;3898.0;3865.0;3903.0;3830.0;362.44K;0.57%
06/09/2022;3876.0;3954.0;3956.5;3865.0;289.29K;-1.76%
06/08/2022;3945.5;3968.0;4050.0;3864.0;437.13K;-0.35%
06/07/2022;3959.5;3940.0;3970.0;3816.0;457.70K;0.49%
06/06/2022;3940.0;3985.0;4028.0;3927.0;291.27K;-1.02%
06/03/2022;3980.5;4040.0;4070.0;3930.0;339.61K;-1.35%
06/02/2022;4035.0;4078.0;4085.5;3993.0;314.25K;-0.96%
06/01/2022;4074.0;4050.0;4125.0;4003.0;373.12K;0.31%
05/31/2022;4061.5;4180.0;4199.0;4043.0;305.24K;-3.76%
05/30/2022;4220.0;4351.0;4380.0;4100.0;415.92K;-1.63%
05/27/2022;4290.0;4285.0;4359.5;4255.0;475.10K;0.63%
05/26/2022;4263.0;4160.0;4298.5;4085.0;488.50K;2.77%
05/25/2022;4148.0;3999.0;4148.0;3975.0;339.34K;5.23%
05/24/2022;3942.0;4050.0;4062.5;3882.0;501.95K;-2.67%
05/23/2022;4050.0;4305.0;4350.0;4031.0;332.96K;-5.35%
05/20/2022;4279.0;4419.0;4449.0;4258.0;304.80K;-3.09%
05/19/2022;4415.5;4483.5;4509.5;4381.5;229.82K;-1.52%
05/18/2022;4483.5;4520.0;4565.0;4480.0;273.96K;-0.37%
05/17/2022;4500.0;4543.0;4589.0;4400.0;388.54K;-0.52%
05/16/2022;4523.5;4380.0;4669.5;4380.0;1.14M;3.28%
05/13/2022;4380.0;4400.0;4439.0;4300.0;272.07K;0.40%
05/12/2022;4362.5;4550.0;4581.0;4325.5;525.90K;-5.16%
05/11/2022;4600.0;4640.0;4699.0;4539.0;242.22K;-0.77%
05/06/2022;4635.5;4689.0;4690.0;4568.0;376.03K;-0.84%
05/05/2022;4675.0;4602.0;4689.5;4600.5;230.33K;2.70%
05/04/2022;4552.0;4747.0;4772.5;4526.0;443.42K;-3.14%
04/29/2022;4699.5;4410.0;4717.0;4380.0;865.62K;7.27%
04/28/2022;4381.0;4551.0;4740.0;4318.0;923.46K;-3.71%
04/27/2022;4550.0;4325.0;4559.0;4276.0;783.96K;6.01%
04/26/2022;4292.0;3970.5;4587.5;3960.5;1.35M;9.18%
04/25/2022;3931.0;3828.0;3994.0;3710.5;560.39K;2.69%
04/22/2022;3828.0;3974.0;4044.0;3682.0;1.65M;-3.67%
04/21/2022;3974.0;4331.5;4340.0;3910.0;1.22M;-7.80%
04/20/2022;4310.0;4498.5;4536.0;4215.5;726.09K;-3.90%
04/19/2022;4485.0;4592.0;4592.0;4108.0;708.76K;-1.41%
04/18/2022;4549.0;4913.0;4948.0;4524.0;407.46K;-7.03%
04/15/2022;4893.0;4879.0;4956.0;4800.0;151.32K;0.28%
04/14/2022;4879.5;5115.5;5120.0;4862.0;199.12K;-4.44%
04/13/2022;5106.0;5179.5;5209.0;5056.0;160.93K;-0.76%
04/12/2022;5145.0;5200.0;5250.0;5026.0;219.89K;-0.87%
04/11/2022;5190.0;5225.0;5385.0;5184.0;144.62K;-0.70%
04/08/2022;5226.5;5299.5;5319.5;5087.0;199.67K;-1.01%
04/07/2022;5280.0;5260.0;5356.0;5240.0;264.68K;0.27%
04/06/2022;5266.0;5314.0;5514.0;5224.5;195.34K;-0.90%
04/05/2022;5314.0;5574.0;5590.0;5220.0;245.01K;-4.37%
04/04/2022;5557.0;5698.0;5750.0;5395.0;304.18K;-0.79%
04/01/2022;5601.0;5660.0;5868.0;5450.0;385.73K;-1.39%
03/31/2022;5680.0;5120.0;5680.0;5100.0;469.08K;10.51%
03/30/2022;5140.0;5050.0;5140.0;5000.0;287.53K;4.43%
03/29/2022;4922.0;5118.0;5350.0;4800.0;642.27K;-3.83%
03/28/2022;5118.0;5200.0;5200.0;4915.0;228.86K;-1.69%
03/25/2022;5206.0;5600.0;5761.0;5022.0;875.18K;-5.77%
03/24/2022;5525.0;5302.5;5993.0;5300.0;1.20M;12.41%
02/25/2022;4915.0;4400.0;5360.0;4400.0;2.01M;5.70%
02/24/2022;4650.0;5410.5;5410.5;3019.5;4.69M;-22.76%
02/22/2022;6020.0;5805.0;6050.0;5479.0;5.90M;3.61%
02/21/2022;5810.0;6480.0;6649.0;5609.5;4.54M;-10.01%
02/18/2022;6456.5;6739.0;6832.0;6415.0;1.70M;-4.11%
02/17/2022;6733.0;6956.5;6968.0;6650.0;1.74M;-3.40%
02/16/2022;6970.0;7028.0;7068.0;6902.5;1.18M;-0.13%
02/15/2022;6979.0;6840.0;7077.5;6783.0;1.78M;2.69%
02/14/2022;6796.0;6684.0;6885.0;6524.5;1.95M;1.32%
02/11/2022;6707.5;6960.0;7000.0;6624.5;1.89M;-3.97%
02/10/2022;6984.5;6970.0;7084.0;6894.0;1.38M;0.16%
02/09/2022;6973.5;6966.5;7009.0;6900.0;1.55M;0.23%
02/08/2022;6957.5;6985.0;7044.0;6938.0;931.31K;-0.44%
02/07/2022;6988.0;7047.0;7060.0;6825.5;977.37K;-0.31%
02/04/2022;7010.0;6897.0;7110.0;6892.0;1.75M;2.10%
02/03/2022;6865.5;7026.5;7030.0;6794.5;1.32M;-2.48%
02/02/2022;7040.0;6975.0;7050.0;6936.0;983.00K;0.92%
02/01/2022;6976.0;6884.0;7013.5;6826.0;1.23M;1.42%
01/31/2022;6878.0;6810.0;6910.0;6780.0;1.30M;1.52%
01/28/2022;6775.0;6784.0;6945.0;6755.0;1.58M;-0.54%
01/27/2022;6811.5;6498.0;6900.0;6432.0;2.12M;4.38%
01/26/2022;6525.5;6542.0;6690.0;6405.0;2.23M;-0.27%
01/25/2022;6543.0;6270.0;6562.5;6177.5;2.08M;3.97%
01/24/2022;6293.0;6445.0;6479.0;6078.0;2.94M;-1.98%
01/21/2022;6420.0;6400.0;6514.0;6310.0;1.94M;-0.16%
