Date;Price;Open;High;Low;Vol.;Change %
01/24/2023;54.660;55.020;55.280;54.100;674.77K;-0.36%
01/23/2023;54.860;55.220;55.560;54.520;390.63K;0.04%
01/20/2023;54.840;54.700;54.840;54.000;473.48K;1.07%
01/19/2023;54.260;55.340;55.440;54.080;707.32K;-2.13%
01/18/2023;55.440;55.500;55.560;54.920;479.35K;-0.36%
01/17/2023;55.640;55.440;55.980;54.860;654.27K;0.65%
01/16/2023;55.280;55.240;55.600;54.880;365.90K;0.40%
01/13/2023;55.060;56.420;56.420;54.380;1.46M;-2.13%
01/12/2023;56.260;56.220;56.940;56.080;1.09M;-0.81%
01/11/2023;56.720;56.880;57.220;56.540;770.70K;-0.14%
01/10/2023;56.800;55.800;57.140;55.700;837.68K;1.54%
01/09/2023;55.940;55.440;55.940;54.780;715.80K;1.89%
01/06/2023;54.900;54.460;55.220;53.480;516.51K;0.70%
01/05/2023;54.520;53.680;54.900;53.480;551.54K;1.23%
01/04/2023;53.860;53.300;54.280;53.180;591.64K;1.62%
01/03/2023;53.000;52.600;53.680;52.560;522.56K;0.65%
01/02/2023;52.660;51.540;53.020;51.500;621.93K;2.77%
12/30/2022;51.240;51.000;51.240;50.560;322.33K;-0.12%
12/29/2022;51.300;50.000;51.380;49.950;530.06K;2.19%
12/28/2022;50.200;50.600;50.600;49.920;456.31K;-0.83%
12/27/2022;50.620;50.940;51.240;50.460;348.25K;0.32%
12/23/2022;50.460;50.320;51.020;50.100;528.56K;0.24%
12/22/2022;50.340;51.600;51.800;49.790;1.09M;-2.44%
12/21/2022;51.600;51.040;51.900;50.620;564.80K;1.34%
12/20/2022;50.920;51.300;51.440;50.680;774.72K;-1.66%
12/19/2022;51.780;52.020;53.000;51.520;921.95K;-0.35%
12/16/2022;51.960;52.900;53.440;51.960;2.12M;-1.59%
12/15/2022;52.800;54.800;55.120;52.800;1.16M;-4.28%
12/14/2022;55.160;55.440;55.880;54.860;704.33K;-0.54%
12/13/2022;55.460;56.040;57.200;55.460;850.57K;-0.75%
12/12/2022;55.880;56.400;56.560;55.700;390.35K;-1.34%
12/09/2022;56.640;56.640;57.060;55.660;570.26K;0.21%
12/08/2022;56.520;56.520;57.460;56.100;638.36K;-0.84%
12/07/2022;57.000;58.180;58.540;57.000;548.40K;-2.33%
12/06/2022;58.360;59.000;59.420;57.520;587.59K;-1.02%
12/05/2022;58.960;59.000;59.280;58.280;607.23K;0.92%
12/02/2022;58.420;57.500;58.540;57.160;620.49K;1.53%
12/01/2022;57.540;58.820;59.100;57.380;804.12K;-1.37%
11/30/2022;58.340;58.360;59.500;58.300;1.52M;0.59%
11/29/2022;58.000;58.000;58.360;57.360;539.16K;-0.03%
11/28/2022;58.020;58.200;58.300;57.720;404.89K;-1.09%
11/25/2022;58.660;58.840;58.900;57.980;328.44K;0.10%
11/24/2022;58.600;58.160;59.280;58.100;530.90K;0.72%
11/23/2022;58.180;58.420;58.520;57.360;520.32K;-0.41%
11/22/2022;58.420;57.880;58.600;57.360;481.16K;0.38%
